id,domain,question,a,b,c,d,correct,explanation,reference
Q1,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,Replace one team member,"Facilitate a private, interest‑based discussion",Send a teamwide email,Escalate to the sponsor,B,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q2,People,A new stakeholder with high power and low interest joins. What should you do first?,Do nothing until they attend a meeting,Ask for more budget,Schedule a demo,Update the stakeholder register and engagement approach,D,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q3,People,A key developer is underperforming due to unclear expectations. What is the most appropriate action?,Provide training only,Reassign work immediately,"Clarify roles and expectations, then support",Start formal performance management,C,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q4,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Time‑box and focus on blockers and plan for the day,Move to email updates only,Reduce frequency to weekly,Increase team size,A,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q5,People,A senior SME dominates meetings. Best facilitation technique?,Structured round‑robin and a parking lot,Cancel meetings,Talk only to the SME offline,Let them speak to avoid conflict,A,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q6,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,"Facilitate a private, interest‑based discussion",Send a teamwide email,Replace one team member,Escalate to the sponsor,A,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q7,People,A new stakeholder with high power and low interest joins. What should you do first?,Ask for more budget,Update the stakeholder register and engagement approach,Schedule a demo,Do nothing until they attend a meeting,B,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q8,People,A key developer is underperforming due to unclear expectations. What should you do?,Provide training only,Reassign work immediately,Start formal performance management,"Clarify roles and expectations, then support",D,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q9,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Reduce frequency to weekly,Move to email updates only,Time‑box and focus on blockers and plan for the day,Increase team size,C,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q10,People,A senior SME dominates meetings. Best facilitation technique?,Cancel meetings,Talk only to the SME offline,Let them speak to avoid conflict,Structured round‑robin and a parking lot,D,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q11,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,Replace one team member,"Facilitate a private, interest‑based discussion",Send a teamwide email,Escalate to the sponsor,B,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q12,People,A new stakeholder with high power and low interest joins. What should you do first?,Do nothing until they attend a meeting,Ask for more budget,Update the stakeholder register and engagement approach,Schedule a demo,C,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q13,People,A key developer is underperforming due to unclear expectations. What should you do?,Reassign work immediately,Provide training only,Start formal performance management,"Clarify roles and expectations, then support",D,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q14,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Move to email updates only,Increase team size,Time‑box and focus on blockers and plan for the day,Reduce frequency to weekly,C,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q15,People,A senior SME dominates meetings. Best facilitation technique?,Let them speak to avoid conflict,Structured round‑robin and a parking lot,Talk only to the SME offline,Cancel meetings,B,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q16,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,Send a teamwide email,Escalate to the sponsor,Replace one team member,"Facilitate a private, interest‑based discussion",D,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q17,People,A new stakeholder with high power and low interest joins. What should you do first?,Update the stakeholder register and engagement approach,Do nothing until they attend a meeting,Ask for more budget,Schedule a demo,A,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q18,People,A key developer is underperforming due to unclear expectations. What is the most appropriate action?,Provide training only,Reassign work immediately,Start formal performance management,"Clarify roles and expectations, then support",D,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q19,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Increase team size,Move to email updates only,Time‑box and focus on blockers and plan for the day,Reduce frequency to weekly,C,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q20,People,A senior SME dominates meetings. Best facilitation technique?,Let them speak to avoid conflict,Structured round‑robin and a parking lot,Cancel meetings,Talk only to the SME offline,B,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q21,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,Escalate to the sponsor,Replace one team member,Send a teamwide email,"Facilitate a private, interest‑based discussion",D,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q22,People,A new stakeholder with high power and low interest joins. What should you do first?,Schedule a demo,Do nothing until they attend a meeting,Ask for more budget,Update the stakeholder register and engagement approach,D,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q23,People,A key developer is underperforming due to unclear expectations. What is the most appropriate action?,Provide training only,Reassign work immediately,"Clarify roles and expectations, then support",Start formal performance management,C,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q24,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Move to email updates only,Increase team size,Reduce frequency to weekly,Time‑box and focus on blockers and plan for the day,D,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q25,People,A senior SME dominates meetings. Best facilitation technique?,Cancel meetings,Let them speak to avoid conflict,Structured round‑robin and a parking lot,Talk only to the SME offline,C,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q26,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,"Facilitate a private, interest‑based discussion",Send a teamwide email,Escalate to the sponsor,Replace one team member,A,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q27,People,A new stakeholder with high power and low interest joins. What should you do first?,Do nothing until they attend a meeting,Ask for more budget,Update the stakeholder register and engagement approach,Schedule a demo,C,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q28,People,A key developer is underperforming due to unclear expectations. What is the most appropriate action?,Provide training only,Reassign work immediately,Start formal performance management,"Clarify roles and expectations, then support",D,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q29,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Increase team size,Time‑box and focus on blockers and plan for the day,Reduce frequency to weekly,Move to email updates only,B,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q30,People,A senior SME dominates meetings. Best facilitation technique?,Let them speak to avoid conflict,Structured round‑robin and a parking lot,Cancel meetings,Talk only to the SME offline,B,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q31,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,Replace one team member,Escalate to the sponsor,Send a teamwide email,"Facilitate a private, interest‑based discussion",D,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q32,People,A new stakeholder with high power and low interest joins. What should you do first?,Schedule a demo,Do nothing until they attend a meeting,Ask for more budget,Update the stakeholder register and engagement approach,D,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q33,People,A key developer is underperforming due to unclear expectations. What is the most appropriate action?,Start formal performance management,Provide training only,"Clarify roles and expectations, then support",Reassign work immediately,C,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q34,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Time‑box and focus on blockers and plan for the day,Increase team size,Reduce frequency to weekly,Move to email updates only,A,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q35,People,A senior SME dominates meetings. Best facilitation technique?,Structured round‑robin and a parking lot,Cancel meetings,Let them speak to avoid conflict,Talk only to the SME offline,A,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q36,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,"Facilitate a private, interest‑based discussion",Replace one team member,Send a teamwide email,Escalate to the sponsor,A,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q37,People,A new stakeholder with high power and low interest joins. What should you do first?,Update the stakeholder register and engagement approach,Schedule a demo,Ask for more budget,Do nothing until they attend a meeting,A,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q38,People,A key developer is underperforming due to unclear expectations. What should you do?,Start formal performance management,"Clarify roles and expectations, then support",Provide training only,Reassign work immediately,B,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q39,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Time‑box and focus on blockers and plan for the day,Reduce frequency to weekly,Increase team size,Move to email updates only,A,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q40,People,A senior SME dominates meetings. Best facilitation technique?,Talk only to the SME offline,Structured round‑robin and a parking lot,Cancel meetings,Let them speak to avoid conflict,B,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q41,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,Send a teamwide email,"Facilitate a private, interest‑based discussion",Escalate to the sponsor,Replace one team member,B,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q42,People,A new stakeholder with high power and low interest joins. What should you do first?,Ask for more budget,Update the stakeholder register and engagement approach,Schedule a demo,Do nothing until they attend a meeting,B,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q43,People,A key developer is underperforming due to unclear expectations. What should you do?,Reassign work immediately,Provide training only,"Clarify roles and expectations, then support",Start formal performance management,C,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q44,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Increase team size,Reduce frequency to weekly,Move to email updates only,Time‑box and focus on blockers and plan for the day,D,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q45,People,A senior SME dominates meetings. Best facilitation technique?,Structured round‑robin and a parking lot,Let them speak to avoid conflict,Talk only to the SME offline,Cancel meetings,A,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q46,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,Replace one team member,Escalate to the sponsor,Send a teamwide email,"Facilitate a private, interest‑based discussion",D,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q47,People,A new stakeholder with high power and low interest joins. What should you do first?,Do nothing until they attend a meeting,Update the stakeholder register and engagement approach,Ask for more budget,Schedule a demo,B,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q48,People,A key developer is underperforming due to unclear expectations. What is the most appropriate action?,Provide training only,"Clarify roles and expectations, then support",Start formal performance management,Reassign work immediately,B,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q49,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Increase team size,Reduce frequency to weekly,Time‑box and focus on blockers and plan for the day,Move to email updates only,C,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q50,People,A senior SME dominates meetings. Best facilitation technique?,Structured round‑robin and a parking lot,Cancel meetings,Talk only to the SME offline,Let them speak to avoid conflict,A,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q51,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,Send a teamwide email,"Facilitate a private, interest‑based discussion",Replace one team member,Escalate to the sponsor,B,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q52,People,A new stakeholder with high power and low interest joins. What should you do first?,Update the stakeholder register and engagement approach,Do nothing until they attend a meeting,Ask for more budget,Schedule a demo,A,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q53,People,A key developer is underperforming due to unclear expectations. What is the most appropriate action?,Start formal performance management,Reassign work immediately,"Clarify roles and expectations, then support",Provide training only,C,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q54,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Reduce frequency to weekly,Move to email updates only,Increase team size,Time‑box and focus on blockers and plan for the day,D,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q55,People,A senior SME dominates meetings. Best facilitation technique?,Talk only to the SME offline,Let them speak to avoid conflict,Cancel meetings,Structured round‑robin and a parking lot,D,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q56,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,Escalate to the sponsor,Send a teamwide email,"Facilitate a private, interest‑based discussion",Replace one team member,C,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q57,People,A new stakeholder with high power and low interest joins. What should you do first?,Schedule a demo,Update the stakeholder register and engagement approach,Ask for more budget,Do nothing until they attend a meeting,B,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q58,People,A key developer is underperforming due to unclear expectations. What is the most appropriate action?,Provide training only,"Clarify roles and expectations, then support",Reassign work immediately,Start formal performance management,B,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q59,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Move to email updates only,Increase team size,Time‑box and focus on blockers and plan for the day,Reduce frequency to weekly,C,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q60,People,A senior SME dominates meetings. Best facilitation technique?,Talk only to the SME offline,Let them speak to avoid conflict,Cancel meetings,Structured round‑robin and a parking lot,D,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q61,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,"Facilitate a private, interest‑based discussion",Replace one team member,Send a teamwide email,Escalate to the sponsor,A,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q62,People,A new stakeholder with high power and low interest joins. What should you do first?,Do nothing until they attend a meeting,Ask for more budget,Schedule a demo,Update the stakeholder register and engagement approach,D,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q63,People,A key developer is underperforming due to unclear expectations. What is the most appropriate action?,Provide training only,Reassign work immediately,Start formal performance management,"Clarify roles and expectations, then support",D,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q64,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Reduce frequency to weekly,Time‑box and focus on blockers and plan for the day,Increase team size,Move to email updates only,B,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q65,People,A senior SME dominates meetings. Best facilitation technique?,Talk only to the SME offline,Let them speak to avoid conflict,Cancel meetings,Structured round‑robin and a parking lot,D,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q66,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,Replace one team member,"Facilitate a private, interest‑based discussion",Escalate to the sponsor,Send a teamwide email,B,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q67,People,A new stakeholder with high power and low interest joins. What should you do first?,Update the stakeholder register and engagement approach,Ask for more budget,Schedule a demo,Do nothing until they attend a meeting,A,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q68,People,A key developer is underperforming due to unclear expectations. What should you do?,Reassign work immediately,Provide training only,"Clarify roles and expectations, then support",Start formal performance management,C,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
Q69,People,Daily stand‑ups have become long status meetings. What should the facilitator coach?,Reduce frequency to weekly,Increase team size,Time‑box and focus on blockers and plan for the day,Move to email updates only,C,"Stand‑ups are short, time‑boxed, focused on yesterday/today/blockers.",PMBOK 7 / ECO
Q70,People,A senior SME dominates meetings. Best facilitation technique?,Structured round‑robin and a parking lot,Let them speak to avoid conflict,Cancel meetings,Talk only to the SME offline,A,Use facilitation to balance participation and stay on agenda.,PMBOK 7 / ECO
Q71,People,Two team members are in conflict and it is hurting collaboration. What is the best first step for the project manager?,Replace one team member,"Facilitate a private, interest‑based discussion",Send a teamwide email,Escalate to the sponsor,B,"Start with private, interest‑based resolution before escalating.",PMBOK 7 / ECO
Q72,People,A new stakeholder with high power and low interest joins. What should you do first?,Update the stakeholder register and engagement approach,Do nothing until they attend a meeting,Schedule a demo,Ask for more budget,A,Update register and plan to match influence and engagement level.,PMBOK 7 / ECO
Q73,People,A key developer is underperforming due to unclear expectations. What should you do?,"Clarify roles and expectations, then support",Reassign work immediately,Start formal performance management,Provide training only,A,Clarify responsibilities and expectations before punitive steps.,PMBOK 7 / ECO
